display_name,n_conjugates,applications,kinds,aliases,sources
CD31/PECAM-1,14,imaging|suspension,antibody,CD31; CD31/PECAM1; PECAM-1; PECAM1,curated|pdv2|store|store:cd|store:part
CD32,2,suspension,antibody,,pdv2|store
CD325/N-Cadherin,1,suspension,antibody,CD325; N-Cadherin,pdv2|store|store:cd|store:part
CD326/EpCAM,10,imaging|suspension,antibody,CD326; EpCAM,curated|pdv2|store|store:cd|store:part
CD328/Siglec-7,1,suspension,antibody,CD328; Siglec-7,pdv2|store|store:cd|store:part
CD33,4,suspension,antibody,,pdv2|store
CD335/NKp46,2,suspension,antibody,CD335; CD335/Nkp46; Nkp46; NKp46,store|store:cd|store:part
CD34,6,imaging|suspension,antibody,,pdv2|store
CD352,1,suspension,antibody,CD352/NTB-A,pdv2|store
CD354,1,suspension,antibody,CD354/TREM-1,pdv2|store
CD357/GITR,2,suspension,antibody,CD357; GITR,pdv2|store|store:cd|store:part
CD36,4,suspension,antibody,,pdv2|store
CD366/TIM-3,7,imaging|suspension,antibody,CD366; CD366/Tim-3; CD366/TIM3; HAVCR2; TIM-3; Tim-3; TIM3,curated|pdv2|store|store:cd|store:part
CD370/CLEC9A,1,suspension,antibody,CD370; CD370/CLEC9A/DNGR1; CLEC9A,pdv2|store|store:cd|store:part
CD371/CLEC12A,1,suspension,antibody,CD371; CLEC12A,pdv2|store|store:cd|store:part
CD38,9,imaging|suspension,antibody,,pdv2|store
CD39,2,suspension,antibody,,pdv2|store
CD3ε,17,imaging|suspension,antibody,CD3; CD3 epsilon; CD3e; CD3epsilon,curated|pdv2|store
CD4,18,imaging|suspension,antibody,,pdv2|store
CD40,3,suspension,antibody,,pdv2|store
CD41,2,suspension,antibody,,pdv2|store
CD42b,1,suspension,antibody,,pdv2|store
CD43,2,suspension,antibody,,pdv2|store
CD44,9,imaging|suspension,antibody,,pdv2|store
CD45,37,imaging|suspension,antibody,,pdv2|store
CD45.1,1,suspension,antibody,,store
CD45.2,1,suspension,antibody,,store
CD45R/B220,10,imaging|suspension,antibody,B220; CD45R,curated|pdv2|store|store:cd|store:part
CD45RA,7,imaging|suspension,antibody,,pdv2|store
CD45RB,2,suspension,antibody,,pdv2|store
CD45RO,10,imaging|suspension,antibody,,pdv2|store
CD47,1,suspension,antibody,,pdv2|store
CD48,2,suspension,antibody,,store
CD49a,1,suspension,antibody,,pdv2|store
CD49b,6,suspension,antibody,,pdv2|store
CD49c,1,suspension,antibody,CD49c/integrin alpha-3,pdv2|store
CD49D,3,suspension,antibody,CD49d,pdv2|store
CD49e,1,suspension,antibody,,pdv2|store
CD49F,1,suspension,antibody,,pdv2|store
CD5,3,suspension,antibody,,pdv2|store
