Application,Part Number,Target,Clone,Metal,Reported Reactivity,Format,Technical Data Sheet,Safety Data Sheet,Sample Type,Assay Type
CyTOF (Cytometry),3151023C,Anti-Human HLA-DR ,<div>G46-6</div>,151Eu,"Human, Rhesus, Cynomolgus, Baboon, Dog",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019hzp/lr4fBrSrbDzBAosMQ4BoMB7Sf8tCl3zBbxF0oL99Xiw"" target=""_blank"">PRD009-3151023B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3151029B,Anti-Human CD161,<div>HP-3G10</div>,151Eu,"Human, Cynomolgus Macaque, Rhesus Macaque, African Green, Baboon",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qQSC/5IldGP1y7ZbSprp857IXUV5jlYefSx98Y53Z5Y3eI2w"" target=""_blank"">PRD009-3151029B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3151029C,Anti-Human CD161,<div>HP-3G10</div>,151Eu,"Human, Cynomolgus Macaque, Rhesus Macaque, African Green, Baboon",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qQSC/5IldGP1y7ZbSprp857IXUV5jlYefSx98Y53Z5Y3eI2w"" target=""_blank"">PRD009-3151029B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152002B,Anti-Human TNFα,<div>Mab11</div>,152Sm,"Human, Cat, Chimpanzee, Baboon, Cynomolgus Macaque, Rhesus Macaque, Pigtailed Macaque, Sooty Mangabey, Pig",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019hzz/cHTVcYD0.UnvsfJbilDkytDCEWQLgjm1HWIsBRJBbps"" target=""_blank"">PRD009-3152002B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152002C,Anti-Human TNFα,<div>Mab11</div>,152Sm,Mouse,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019hzz/cHTVcYD0.UnvsfJbilDkytDCEWQLgjm1HWIsBRJBbps"" target=""_blank"">PRD009-3152002B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152003B,Anti-Human CD13,<div>WM15</div>,152Sm,"Human, Baboon, Chimpanzee, Cotton-topped Tamarin",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019hzq/cbgaP664A2Rph6BaAmUQxwnKu8gOhuoy7uF3.BWolZE"" target=""_blank"">PRD009-3152003B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152003C,Anti-Human CD13,<div>WM15</div>,152Sm,"Human, Baboon, Chimpanzee, Cotton-topped Tamarin",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019hzq/cbgaP664A2Rph6BaAmUQxwnKu8gOhuoy7uF3.BWolZE"" target=""_blank"">PRD009-3152003B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152004B,Anti-Mouse CD3e,<div>145-2C11</div>,152Sm,Mouse,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i00/r6o_9YD6q563WII4fKjtGnk3bqF2T7WRGU7tdZniy8M"" target=""_blank"">PRD009-3152004B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152004C,Anti-Mouse CD3e,<div>145-2C11</div>,152Sm,Mouse,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i00/r6o_9YD6q563WII4fKjtGnk3bqF2T7WRGU7tdZniy8M"" target=""_blank"">PRD009-3152004B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152005A,Anti-pAkt [S473],<div>D9E</div>,152Sm,"Human, Mouse, Rat, Hamster, Monkey, Zebrafish, Cow, D. melanogaster",50 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i04/rFFzJsPqGz.4LkBH95Wip3hQwZAJrhdZIuTVd8yPsP8"" target=""_blank"">PRD009-3152005A</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152005C,Anti-pAkt [S473],<div>D9E</div>,152Sm,"Human, Mouse, Rat, Hamster, Monkey, Zebrafish, Cow, D. melanogaster",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i04/rFFzJsPqGz.4LkBH95Wip3hQwZAJrhdZIuTVd8yPsP8"" target=""_blank"">PRD009-3152005B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152007B,Anti-Human CD36,<div>5-271</div>,152Sm,Human,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i09/pFSMS4S07X0SIN5D7HxzEAsw5kGyoATVN42NQic12R0"" target=""_blank"">PRD009-3152007B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152007C,Anti-Human CD36,<div>5-271</div>,152Sm,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i09/pFSMS4S07X0SIN5D7HxzEAsw5kGyoATVN42NQic12R0"" target=""_blank"">PRD009-3152007B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152008B,Anti-Human TCR γ/δ,<div>11F2</div>,152Sm,Human,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019hzl/jy2a3oLeCDxJzetAxorkn8ft2VRb3YOZ8U8CfOPY67I"" target=""_blank"">PRD009-3152008B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152008C,Anti-Human TCR γ/δ,<div>11F2</div>,152Sm,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019hzl/jy2a3oLeCDxJzetAxorkn8ft2VRb3YOZ8U8CfOPY67I"" target=""_blank"">PRD009-3152008B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152014A,Anti-Human cleaved Caspase 7,<div>D6H1</div>,152Sm,"Mouse, Human, Monkey",50 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0E/BwiqPH_nWv46lbv1rrNEPzjxPr72qxLZN0wwOy1IyI0"" target=""_blank"">PRD009-3152014A</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152014C,Anti-Human cleaved Caspase 7,<div>D6H1</div>,152Sm,"Mouse, Human, Monkey",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0E/BwiqPH_nWv46lbv1rrNEPzjxPr72qxLZN0wwOy1IyI0"" target=""_blank"">PRD009-3152014B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152017B,Anti-Human CD95/Fas,<div>DX2</div>,152Sm,"Human, Cynomolgus Macaque, Rhesus Macaque, Chimpanzee, Baboon, Pigtailed Macaque, Sooty Mangabey, Capuchin Monkey, African Green Monkey, Cotton-topped Tamarin, Common Marmoset",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0A/yYImimD.DC5LbFTRfUymo3LCQ5OXlZ7Zix0.2sw5qyk"" target=""_blank"">PRD009-3152017B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152017C,Anti-Human CD95/Fas,<div>DX2</div>,152Sm,"Human, Cynomolgus Macaque, Rhesus Macaque, Chimpanzee, Baboon, Pigtailed Macaque, Sooty Mangabey, Capuchin Monkey, African Green Monkey, Cotton-topped Tamarin, Common Marmoset",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0A/yYImimD.DC5LbFTRfUymo3LCQ5OXlZ7Zix0.2sw5qyk"" target=""_blank"">PRD009-3152017B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152019B,Anti-Human CD66b,<div>G10F5</div>,152Sm,"Human, Chimpanzee",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qPxn/V03oeCT7s1ugEnJRm4bkRCRNBV3P9IGx0P3eNkZiJg4"" target=""_blank"">PRD009-3152019B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3152019C,Anti-Human CD66b,<div>G10F5</div>,152Sm,"Human, Chimpanzee",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qPxn/V03oeCT7s1ugEnJRm4bkRCRNBV3P9IGx0P3eNkZiJg4"" target=""_blank"">PRD009-3152019B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153001B,Anti-Human CD45RA,<div>HI100</div>,153Eu,"Human, Chimpanzee",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0J/WwLgyu6TWT8bPLkdiPAbivgOwlvGaBj9Qy.DqRmjZkE"" target=""_blank"">PRD009-3153001B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153001C,Anti-Human CD45RA,<div>HI100</div>,153Eu,"Human, Chimpanzee",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0J/WwLgyu6TWT8bPLkdiPAbivgOwlvGaBj9Qy.DqRmjZkE"" target=""_blank"">PRD009-3153001B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153002B,Anti-Mouse CD45.1,<div>A20</div>,153Eu,Mouse,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0K/z8R19yFzAEGjCVzhEGz5nyVqSMyJkFEukPolCh_G_7s"" target=""_blank"">PRD009-3153002B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153002C,Anti-Mouse CD45.1,<div>A20</div>,153Eu,Mouse,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0K/z8R19yFzAEGjCVzhEGz5nyVqSMyJkFEukPolCh_G_7s"" target=""_blank"">PRD009-3153002B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153003A,Anti-pStat1 [Y701],<div>58D6</div>,153Eu,Human. Mouse,50 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0O/Hsbpd.kJL3uk9ALmjEwc22UhoqoG8iRFkgCjcEa89Cc"" target=""_blank"">PRD009-3153003A</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153003C,Anti-pStat1 [Y701],<div>58D6</div>,153Eu,Human. Mouse,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0O/Hsbpd.kJL3uk9ALmjEwc22UhoqoG8iRFkgCjcEa89Cc"" target=""_blank"">PRD009-3153003B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153004B,Anti-Human CD62L,<div>DREG-56</div>,153Eu,"Human, Chimpanzee, Cow",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0T/3SnZx49bsfTjQVHhNsXa1j2aU0tZokysm2zq11qPxcY"" target=""_blank"">PRD009-3153004B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153004C,Anti-Human CD62L,<div>DREG-56</div>,153Eu,"Human, Chimpanzee, Cow",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0T/3SnZx49bsfTjQVHhNsXa1j2aU0tZokysm2zq11qPxcY"" target=""_blank"">PRD009-3153004B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153005A,Anti-Stat1 [pY701],<div>4a</div>,153Eu,"Human, Mouse",50 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0Y/lx30k3lVS0asinjCovnx5O6XdKEEkl1txaPU45BMIXo"" target=""_blank"">PRD009-3153005A</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153005C,Anti-Stat1 [pY701],<div>4a</div>,153Eu,"Human, Mouse",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0Y/lx30k3lVS0asinjCovnx5O6XdKEEkl1txaPU45BMIXo"" target=""_blank"">PRD009-3153005B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153006B,Anti-Mouse CD335/NKp46,<div>29A1.4</div>,153Eu,Mouse,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0U/19t6_Em64oBsiCOYPYRJpdWGGJECaBuqCe1SgjhsFKs"" target=""_blank"">PRD009-3153006B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153006C,Anti-Mouse CD335/NKp46,<div>29A1.4</div>,153Eu,Mouse,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0U/19t6_Em64oBsiCOYPYRJpdWGGJECaBuqCe1SgjhsFKs"" target=""_blank"">PRD009-3153006B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153007B,Anti-Human CD303/BDCA2,<div>201A</div>,153Eu,Human,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0d/kRAfgVDvsvSbX0JCmOBzU3Ngm1OMsWTIYATSJkX1uwY"" target=""_blank"">PRD009-3153007B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153007C,Anti-Human CD303/BDCA2,<div>201A</div>,153Eu,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0d/kRAfgVDvsvSbX0JCmOBzU3Ngm1OMsWTIYATSJkX1uwY"" target=""_blank"">PRD009-3153007B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153008B,Anti-Human TIM-3,<div>F38-2E2</div>,153Eu,Human,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0i/no.fg41.LVliG3aDHI6RseNGFSFaSMUfKBBiEPMtsFk"" target=""_blank"">PRD009-3153008B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153008C,Anti-Human TIM-3,<div>F38-2E2  </div>,153Eu,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0i/no.fg41.LVliG3aDHI6RseNGFSFaSMUfKBBiEPMtsFk"" target=""_blank"">PRD009-3153008B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153009A,Anti-Human CyclinB1,<div>GNS-1</div>,153Eu,"Human, Mouse, Bovine",50 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0n/XE_ionsV4RDzMh7oMvan3.vXxnKZ.4PxUHMo4_LL3M4"" target=""_blank"">PRD009-3153009A</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153009C,Anti-Human CyclinB1,<div>GNS-1</div>,153Eu,"Human, Mouse, Bovine",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0n/XE_ionsV4RDzMh7oMvan3.vXxnKZ.4PxUHMo4_LL3M4"" target=""_blank"">PRD009-3153009B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153011B,Anti-Mouse CD16/32,<div>93</div>,153Eu,Mouse,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0s/aaAYxXs8yQ0ZielDNxVc6Fu.xlGBEAfnJLZZ1maGvCI"" target=""_blank"">PRD009-3153011B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153011C,Anti-Mouse CD16/32,<div>93</div>,153Eu,Mouse,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0s/aaAYxXs8yQ0ZielDNxVc6Fu.xlGBEAfnJLZZ1maGvCI"" target=""_blank"">PRD009-3153011B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153012B,Anti-Mouse CD8a,<div>53-6.7</div>,153Eu,Mouse,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0F/3bUAt.VYUPYFdEhGYB3lIJeUpjDDptGcwPEkk4FzR6o"" target=""_blank"">PRD009-3153012B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153012C,Anti-Mouse CD8a,<div>53-6.7</div>,153Eu,Mouse,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0F/3bUAt.VYUPYFdEhGYB3lIJeUpjDDptGcwPEkk4FzR6o"" target=""_blank"">PRD009-3153012B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153014B,Anti-Human CD7,<div>CD7-6B7</div>,153Eu,Human,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0t/rYnbFZpc3QBF0GWcojb_0OrwotqAcVN8fqJm69U1FB8"" target=""_blank"">PRD009-3153014B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153014C,Anti-Human CD7,<div>CD7-6B7</div>,153Eu,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0t/rYnbFZpc3QBF0GWcojb_0OrwotqAcVN8fqJm69U1FB8"" target=""_blank"">PRD009-3153014B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153017B,Anti-Human Lck,<div>LCK-01</div>,153Eu,Human,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0P/0Q47CxE5TRSYJliDao9JzC..nL5Ftd259d35tp0TFaw"" target=""_blank"">PRD009-3153017B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153017C,Anti-Human Lck,<div>LCK-01</div>,153Eu,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019i0P/0Q47CxE5TRSYJliDao9JzC..nL5Ftd259d35tp0TFaw"" target=""_blank"">PRD009-3153017B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
